review_id,rating,body,app_version
bbd26fcf-7460-40cb-b543-0154cc1fbfe0,3,Twin è,1.1.0
319a7bac-6158-4b82-80a6-2f4541c7fd30,5,Earlier I cancelled my order due to some reason but this time I am fully satisfied with rate too,1.1.0
91ea98a1-46fa-4487-9a70-96de8688b75a,5,Awesome app from Reliance,3.8.0
ae87c6dd-3ea1-4495-b85b-4b46fd9cef7d,1,"The most worst experience to install this app , ever. The worst service ever the worst product ever, always delivered the wrong and damaged .The app didn't deserve 1 star",4.6.0
7f03367d-7457-4c79-b321-674606db92a6,5,Good,2.8.0
2b77022f-b8e9-4801-9bbc-e2fb7029c664,3,The app is fine... but..less products and very late delivery....I will not order from tira if I want something on urgent basis...,1.7.1
3ec80385-5867-4342-8ba7-efd097c493d2,5,excellent,4.6.0
c04511a2-a261-4602-b34a-24068a1b5e3a,5,"Love the flawless experience provided by Tira, Genuine products, with Good UI app..",1.1.0
ce3b2467-3049-49d9-84bf-7a4cfb7c061d,5,Ol OLLLOLA alo,1.0.6
a28a22bf-f365-4d6e-b9c1-446bf401fa7a,5,This is my first purchase....let's C,1.1.0
2fb12e90-5c7b-418b-b403-0a461c32361e,5,Beautiful,3.5.0
5b18c424-e855-4fd9-833f-558a37921d1c,2,"Why the app is stopping?? This issue wasn't there earlier,now it just keeps stopping suddenly.",3.5.0
27543623-44cc-4619-aa30-37405b198012,5,I love this app! It offers so many options.,4.6.0
a4044154-302e-494d-b083-b4b0dfa1097e,5,This app is amazing 🤩,2.8.0
ebc83a32-6d62-462e-a0b1-ab787bef7a54,5,Vam Aplicarapiok was,1.0.6
c2041c9b-f185-4b8e-8511-101a71ef5471,5,bestest,3.8.0
8bfc60c5-b389-424a-9e50-956402e1c81c,1,Very bad experience. I have ordered on 24 June for Firtst time from Tira and still no information about my order plus app is not showing anything. Nykaa delivers within 2 days. And providing coupon can't change First Impression.,2.3.0
7b8f75db-09a7-4a8e-95a4-63182173ef30,5,Products are authentic and nice But sometimes the app doesn't work smoothly,2.5.0
d879eceb-93e1-476b-a74b-1ac0aaa0d6be,5,Amazing app to buy everything in discount,1.1.0
fd643212-c0fa-480b-ac84-a52f7112c163,5,Great,2.8.0
8f02713e-b70e-4a21-a5fe-8472da2db24d,1,Fake Coupons.,5.3.0
615a57ba-f66c-4227-8ee7-4a2ec221ae32,3,"Prices are on higher side. I could find better prices on Nyka, Shoppers stop.",1.1.0
dfda1370-4ebe-442a-8a16-ace350867a36,1,"this app is a big scam... they leaked all the personal info (order details, contact nos, address)to scammers",4.6.0
d7982cfe-5040-4bc0-9c3e-7bea1e405fed,1,Uuy,1.1.0
662dcb4e-2e16-427e-a007-f0391140018a,4,"Found products I could not find on other platforms. Placing of order was smooth and seamless, received product within 5-7 days. Happy with my first purchase! Will definitely shop more from Tira.",1.0.6
b70eff3a-d91a-4c4f-8da7-78a2a7124851,4,It's an amazing app for skincare junkies and make-up lovers... You can get a lot of options... All the good products from korean and other international brands are available here... But it takes at least one week or more to deliver your products which can be a problem for many otherwise this app is amazing...🩷,4.6.0
