item_id,Item Code,Brand,L1,Product Priority,Social Nudge
7513778,939625,Faces Canada,Makeup,53593.0,
7513757,939620,Faces Canada,Makeup,53594.0,
7513743,939604,Faces Canada,Makeup,53595.0,
7513740,939623,Faces Canada,Makeup,53596.0,
7513714,939602,Faces Canada,Makeup,53597.0,
7513703,939736,Faces Canada,Makeup,53598.0,
7513681,939613,Faces Canada,Makeup,53599.0,
7513647,939598,Faces Canada,Makeup,53600.0,
7513639,939671,Faces Canada,Makeup,53601.0,
7513607,939738,Faces Canada,Makeup,53602.0,
7513592,939599,Faces Canada,Makeup,53603.0,
7513556,952184,Deborah Milano,Makeup,53604.0,
7513572,939614,Faces Canada,Makeup,53605.0,
7513527,1011721,Vega,Bath & Body,53606.0,
7513505,945788,MyGlamm,Makeup,53607.0,
7513494,1028763,Neyah,Makeup,53608.0,
7513487,1011830,Vega,Bath & Body,53609.0,
7513456,1028770,Neyah,Makeup,53610.0,
7513444,1028753,Neyah,Makeup,53611.0,
7513430,1028747,Neyah,Makeup,53612.0,
7513399,1015681,Jaquline USA,Makeup,53613.0,
7513418,1028772,Neyah,Makeup,53614.0,
7513384,974170,Insight Cosmetics,Makeup,53615.0,
7513348,944592,Faces Canada,Makeup,53616.0,
7513312,1011541,Vega,Bath & Body,53617.0,
7513254,1011660,Vega,Bath & Body,53618.0,
7513251,1011725,Vega,Bath & Body,53619.0,
7513226,1011727,Vega,Bath & Body,53620.0,
7513133,1028768,Neyah,Makeup,53621.0,
7513218,1011653,Vega,Bath & Body,53622.0,
7513122,1011608,Vega,Bath & Body,53623.0,
7513091,1028761,Neyah,Makeup,53624.0,
7513006,1028760,Neyah,Makeup,53625.0,
7512957,945906,MyGlamm,Makeup,53626.0,
7513003,1028767,Neyah,Makeup,53627.0,
7512956,974143,Insight Cosmetics,Makeup,53628.0,
7512944,1011544,Vega,Bath & Body,53629.0,
7512943,945804,MyGlamm,Makeup,53630.0,
7512931,945835,MyGlamm,Makeup,53631.0,
7512909,1028746,Neyah,Makeup,53632.0,
7512926,945803,MyGlamm,Makeup,53633.0,
7512879,1015527,Jaquline USA,Makeup,53634.0,
7512876,1011819,Vega,Bath & Body,53635.0,
7512820,1028756,Neyah,Makeup,53636.0,
7512787,945793,MyGlamm,Makeup,53637.0,
7512732,1028776,Neyah,Makeup,53638.0,
7512777,945795,MyGlamm,Makeup,53639.0,
7512722,1028774,Neyah,Makeup,53640.0,
7512664,940875,Faces Canada,Makeup,53641.0,
7512674,1028757,Neyah,Makeup,53642.0,
7512657,945858,MyGlamm,Makeup,53643.0,
